Date,FareProduct,TransitCard,PaymentType,BusNo,TransactionType,SeqNo,GrpQty,TotalCost,Bonus,Change,TotalChange,ValueLeft,RidesLeft,RenewedAdvCount,Status,Company,Vehicle,Hour,Minute,Trip No,Route,Departure,Arrival,Avg Departure Diff,Avg Scheduled Travel,Avg Arrival Diff
2016-01-19 16:37:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,16,31,301019,31,2016-01-19 16:32:13,2016-01-19 16:59:28,1.2,28,0.5
2016-01-19 16:37:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,16,36,301019,31,2016-01-19 16:36:28,2016-01-19 16:40:44,0.5,5,-0.3
2016-01-19 16:37:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,16,31,301019,31,2016-01-19 16:32:13,2016-01-19 16:59:28,1.2,28,0.5
2016-01-19 16:37:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,16,36,301019,31,2016-01-19 16:36:28,2016-01-19 16:40:44,0.5,5,-0.3
2016-01-19 19:14:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,19,12,301023,32,2016-01-19 19:13:28,2016-01-19 19:36:00,1.5,23,1.0
2016-01-19 19:14:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,19,12,301023,32,2016-01-19 19:13:28,2016-01-19 19:17:13,1.5,4,1.2
2016-01-19 06:53:00,EZ Pass AdultZ0,1.6e+14,,3224,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3224,6,46,202002,20cw,2016-01-19 06:46:37,2016-01-19 07:34:06,0.6,47,1.1
2016-01-19 07:18:00,ASI,1.6e+14,,3224,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,2.55,Unlmtd,0.0,Success,First Transit,3224,6,46,202002,20cw,2016-01-19 06:46:37,2016-01-19 07:34:06,0.6,47,1.1
2016-01-19 07:18:00,ASI,1.6e+14,,3224,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3224,6,46,202002,20cw,2016-01-19 06:46:37,2016-01-19 07:34:06,0.6,47,1.1
2016-01-19 07:46:00,Reg SV Regular,1.6e+14,,3224,SV Entry (Tag On),,1,0.75,0,-0.75,-0.75,15.1,Unlmtd,,Success,First Transit,3224,7,43,202003,20cw,2016-01-19 07:43:36,2016-01-19 08:36:06,0.6,52,1.1
